Year,Name,Position,College,Rating
2023,Jackson Harper,WR,Connecticut Huskies,NA
2023,Toriyan Johnson,OT,Connecticut Huskies,NA
2023,Jarvis Jones,ATH,Connecticut Huskies,NA
2023,Cleto Chol,ATH,Connecticut Huskies,NA
2006,Bryan Walters,WR,Cornell Big Red,NA
2009,J.C. Tretter,TE,Cornell Big Red,NA
2012,Conner Armstrong,RB,Cornell Big Red,NA
2012,Luke Hagy,ATH,Cornell Big Red,0.7667
2013,Jordan Young,WR,Cornell Big Red,NA
2014,Hayes Nolte,PRO,Cornell Big Red,NA
2014,Theodore Goosen,OT,Cornell Big Red,NA
2014,Daniel Crochet,ILB,Cornell Big Red,0.7883
2015,Chris Walker,ATH,Cornell Big Red,0.7733
2016,Tommy McIntyre,TE,Cornell Big Red,NA
2016,Nick Null,K,Cornell Big Red,NA
2017,Caleb Weber,ILB,Cornell Big Red,0.7711
2018,Hunter Nourzad,IOL,Cornell Big Red,NA
2018,Jack Burns,IOL,Cornell Big Red,NA
2018,Demetrius Harris,S,Cornell Big Red,NA
2019,Paul Lewis III,CB,Cornell Big Red,NA
2019,Jalyx Hunt,Edge,Cornell Big Red,NA
2020,Micah Sahakian,OT,Cornell Big Red,NA
2020,Noah Taylor,LB,Cornell Big Red,NA
2021,Jimmy Taylor,PRO,Cornell Big Red,NA
2021,Miles Jones,CB,Cornell Big Red,NA
2022,Camari Berry,S,Cornell Big Red,NA
2022,Keegan Opper,IOL,Cornell Big Red,NA
2022,Davon Kiser,WR,Cornell Big Red,NA
2023,Ryder Kurtz,TE,Cornell Big Red,NA
2023,Timothy Bruen,OT,Cornell Big Red,NA
2009,R.C. Willenbrock,K,Dartmouth Big Green,NA
2012,Thomas Militello,PRO,Dartmouth Big Green,NA
2012,Dalyn Williams,DUAL,Dartmouth Big Green,0.8236
2012,Brian Grove,RB,Dartmouth Big Green,0.7763
2013,Joseph Cook,WR,Dartmouth Big Green,NA
2013,Garrett Strohmaier,OG,Dartmouth Big Green,0.7333
2014,Nick Tomkins,ILB,Dartmouth Big Green,NA
2014,Porter Ontko,WR,Dartmouth Big Green,NA
2014,Jarius Brown,WR,Dartmouth Big Green,NA
2015,Zach Sammartino,OG,Dartmouth Big Green,NA
2016,Drew Estrada,WR,Dartmouth Big Green,NA
2016,Micah Croom,S,Dartmouth Big Green,0.8400
2017,JJ Jones,TE,Dartmouth Big Green,NA
2018,Robbie Mangas,TE,Dartmouth Big Green,NA
2018,John Paul Flores,OT,Dartmouth Big Green,NA
2018,Isaiah Johnson,CB,Dartmouth Big Green,NA
2018,Jalen Mackie,ILB,Dartmouth Big Green,0.7691
2018,Ben Keeter,TE,Dartmouth Big Green,0.7497
2019,Shane Cokes,WDE,Dartmouth Big Green,NA
2019,Charles Looes,Edge,Dartmouth Big Green,NA
2019,Jamal Cooney,WR,Dartmouth Big Green,0.8100
2020,Macklin Ayers,OLB,Dartmouth Big Green,NA
2020,Jace Henry,QB,Dartmouth Big Green,NA
2020,Trevon Erickson,ILB,Dartmouth Big Green,0.8044
2021,Cayman Duncan,OT,Dartmouth Big Green,NA
2021,Sean Harmon,TE,Dartmouth Big Green,NA
2021,Christian Benson,APB,Dartmouth Big Green,NA
2021,Jackson Proctor,PRO,Dartmouth Big Green,NA
2021,Davis Golick,P,Dartmouth Big Green,NA
2021,Charis Spence,OLB,Dartmouth Big Green,NA
2021,Micah Green,OLB,Dartmouth Big Green,NA
2022,Thaddeus Gianaris,Edge,Dartmouth Big Green,NA
2023,Keoni Perkins,DL,Dartmouth Big Green,NA
2023,Taysire Williams,TE,Dartmouth Big Green,NA
2023,Woods Ray,QB,Dartmouth Big Green,0.8317
2014,Brayden Sims,WR,Davidson Wildcats,NA
2015,Chris Trevisan,ATH,Davidson Wildcats,NA
2017,Zion Johnson,OG,Davidson Wildcats,NA
2019,Josh Sepe,OLB,Davidson Wildcats,NA
2020,David Sohn,ATH,Davidson Wildcats,0.7900
