Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Maine Black Bears,23.5,259,34,,221,51,149,21,54-140,38.57,11-21,52.38,,,,,,,,,,,,,,,,,,,,40-661,16.5,11-59,5.4,7-79,11.3,,42.5,"51-2,168",7-7,22,,65-575,52,,30:25,,0,15
2024,Marist Red Foxes,22.6,249,25,,186,63,108,15,61-164,37.20,15-33,45.46,,,,,,,,,,,,,,,,,,,,47-858,18.3,11-74,6.7,8-199,24.9,,36.3,"55-1,959",5-5,5,,70-642,58,,31:23,,0,21
2024,Marshall Thundering Herd,22.8,296,37,,236,81,126,29,56-181,30.94,6-25,24.00,,268-425,"2,940",6.9,226.2,12,18,36--249,,452,"1,720",3.8,132.3,21,,913,"4,660",358.5,,32-800,25.0,9-19,2.1,13-131,10.1,,35.7,"69-2,895",12-20,56,,84-757,58,,29:26,,23-11,-11
2024,Maryland Terrapins,29.7,386,49,,273,93,156,24,75-175,42.86,13-19,68.42,,307-477,"3,626",7.6,278.9,27,13,29--234,,381,"1,409",3.7,108.4,20,,887,"5,035",387.3,,23-453,19.7,12-101,8.4,17-166,9.8,,36.8,"48-1,933",14-20,59,,72-735,56,,28:11,,17-8,3
2024,Massachusetts Minutemen,28.0,336,35,,213,93,101,19,55-151,36.42,3-13,23.08,,212-348,"2,569",7.4,214.1,14,11,26--190,,390,"1,706",4.4,142.2,19,,764,"4,275",356.3,,40-713,17.8,12-80,6.6,8-135,16.9,,32.1,"57-2,261",11-20,32,,96-851,70,,29:45,,16-6,-1
2024,McNeese Cowboys,19.3,193,24,,173,69,89,15,39-121,32.23,8-15,53.33,,,,,,,,,,,,,,,,,,,,19-433,22.8,8-42,5.3,5-0,0.0,,40.7,"52-2,114",8-8,28,,60-534,53,,26:37,,0,11
2024,Memphis Tigers,38.9,506,67,,295,103,173,19,78-172,45.35,18-28,64.29,,321-481,"3,984",8.3,306.5,33,10,19--88,,429,"1,976",4.6,152.0,31,,929,"5,960",458.5,,26-566,21.8,15-118,7.9,11-205,18.6,,38.1,"45-1,902",13-18,25,,53-536,41,,31:08,,10-5,5
2024,Mercer Bears,24.4,317,41,,228,103,100,25,57-169,33.73,10-18,55.56,,,,,,,,,,,,,,,,,,,,33-661,20.0,29-339,11.7,14-170,12.1,,36.8,"73-2,683",10-10,6,,77-667,51,,30:23,,0,25
2024,Merrimack Warriors,32.5,357,38,,176,104,51,21,48-148,32.43,9-18,50.00,,,,,,,,,,,,,,,,,,,,37-919,24.8,15-155,10.3,10-117,11.7,,36.4,"69-2,513",10-10,30,,74-628,57,,32:19,,0,18
2024,Miami Hurricanes,31.5,409,49,,285,112,150,23,67-164,40.85,11-21,52.38,,283-436,"3,354",7.7,258.0,23,14,16--109,,440,"2,251",5.1,173.2,24,,892,"5,605",431.2,,33-791,24.0,12-79,6.6,12-118,9.8,,39.7,"45-1,882",22-26,61,,79-751,57,,31:52,,13-8,-4
