Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Columbia Lions,21.6,216,19,,160,82,69,9,53-153,34.64,11-26,42.31,,,,,,,,,,,,,,,,,,,,24-498,20.8,16-153,9.6,9-105,11.7,,42.2,"54-2,277",8-8,26,,47-373,37,,27:15,,0,15
2024,Cornell Big Red,18.2,182,20,,211,74,127,10,56-158,35.44,18-34,52.94,,,,,,,,,,,,,,,,,,,,21-376,17.9,14-126,9.0,8-93,11.6,,38.2,"40-1,527",14-15,28,,48-491,49,,34:24,,0,9
2024,Dartmouth Big Green,23.2,232,26,,179,87,80,12,58-150,38.67,11-17,64.71,,,,,,,,,,,,,,,,,,,,18-380,21.1,21-238,11.3,9-63,7.0,,36.2,"49-1,776",17-17,53,,50-493,49,,31:04,,0,15
2024,Davidson Wildcats,41.1,452,62,,252,160,73,19,60-137,43.80,21-35,60.00,,,,,,,,,,,,,,,,,,,,34-582,17.1,9-72,7.8,6-84,14.0,,34.3,"30-1,185",7-9,17,,55-519,47,,33:13,,0,13
2024,Dayton Flyers,24.9,274,36,,212,108,85,19,65-162,40.12,17-33,51.52,,,,,,,,,,,,,,,,,,,,32-663,20.7,11-65,5.9,9-174,19.3,,34.3,"44-1,508",7-10,22,,63-587,53,,31:01,,0,19
2024,Delaware Fightin' Blue Hens,31.5,410,56,,295,116,150,29,75-170,44.12,13-31,41.94,,,,,,,,,,,,,,,,,,,,40-962,24.1,10-154,23.4,13-249,19.2,,38.9,"42-1,634",8-9,27,,61-607,46,,29:36,,0,23
2024,Delaware State Hornets,18.0,198,25,,164,67,84,13,46-132,34.85,7-16,43.75,,,,,,,,,,,,,,,,,,,,44-834,19.0,8-170,21.3,3-25,8.3,,40.0,"51-2,042",8-10,19,,71-618,56,,28:49,,0,7
2024,Drake Bulldogs,19.8,238,28,,205,56,122,27,65-177,36.72,8-21,38.10,,,,,,,,,,,,,,,,,,,,29-601,20.7,19-146,7.4,4-29,7.3,,33.2,"62-2,248",16-16,22,,94-783,65,,30:19,,0,18
2024,Duke Blue Devils,31.4,408,42,,243,98,117,28,60-166,36.15,12-20,60.00,,200-357,"2,351",6.6,180.8,14,8,17--88,,448,"2,174",4.9,167.2,26,,822,"4,525",348.1,,16-338,21.1,16-149,9.8,10-53,5.3,,43.5,"55-2,547",18-23,41,,73-598,46,,28:59,,10-7,0
2024,Duquesne Dukes,27.1,325,44,,204,85,96,23,52-145,35.86,9-17,52.94,,,,,,,,,,,,,,,,,,,,31-574,18.5,19-67,3.4,9-131,14.6,,35.5,"53-1,881",7-7,3,,83-678,56,,29:32,,0,19
2024,East Carolina Pirates,17.5,210,22,,181,77,91,13,53-175,30.29,9-26,34.62,,208-388,"1,967",5.1,163.9,7,14,31--179,,385,"1,360",3.5,113.3,12,,804,"3,327",277.3,,20-319,16.0,14-103,7.4,6-73,12.2,,39.3,"67-2,770",18-25,39,,70-651,54,,28:59,,8-7,-5
2024,East Tennessee State Buccaneers,19.3,212,27,,154,81,56,17,35-140,25.00,9-15,60.00,,,,,,,,,,,,,,,,,,,,26-436,16.8,17-275,16.2,7-172,24.6,,43.4,"67-2,906",8-9,34,,68-656,59,,28:55,,0,14
2024,Eastern Illinois Panthers,23.6,260,35,,220,73,128,19,61-161,37.89,13-28,46.43,,,,,,,,,,,,,,,,,,,,29-486,16.8,7-50,7.1,14-145,10.4,,37.1,"56-2,077",7-8,17,,64-564,51,,31:30,,0,25
2024,Eastern Kentucky Colonels,29.5,324,38,,264,99,143,22,59-137,43.07,9-13,69.23,,,,,,,,,,,,,,,,,,,,31-640,20.6,5-3,0.6,9-59,6.6,,41.8,"43-1,796",19-19,43,,54-454,41,,30:43,,0,19
2024,Eastern Michigan Eagles,19.5,254,31,,207,91,89,27,63-180,35.00,10-19,52.63,,197-358,"1,976",5.5,152.0,10,12,32--219,,428,"1,457",3.4,112.1,18,,818,"3,433",264.1,,34-729,21.4,13-142,10.9,8-61,7.6,,41.3,"68-3,060",13-17,15,,80-762,58,,28:59,,13-6,1
2024,Eastern Washington Eagles,32.3,355,45,,262,111,133,18,75-175,42.86,19-29,65.52,,,,,,,,,,,,,,,,,,,,33-860,26.1,9-49,5.4,10-188,18.8,,41.3,"43-1,776",14-14,23,,50-450,40,,29:12,,0,15
2024,Elon Phoenix,24.6,271,34,,184,82,86,16,45-151,29.80,14-26,53.85,,,,,,,,,,,,,,,,,,,,35-740,21.1,19-148,7.8,10-109,10.9,,42.1,"55-2,317",12-12,14,,63-580,52,,30:07,,0,18
2024,Florida Gators,28.5,342,41,,259,97,143,19,55-150,36.67,9-22,40.91,,282-390,"3,111",8.0,259.3,20,5,39--260,,421,"1,794",4.3,149.5,21,,850,"4,905",408.8,,16-331,20.7,14-151,10.8,3-38,12.7,,43.3,"43-2,052",18-24,78,,79-595,49,,33:06,,14-7,-5
2024,Florida A&M Rattlers,31.4,408,54,,266,103,137,26,60-152,39.47,12-20,60.00,,,,,,,,,,,,,,,,,,,,28-542,19.4,26-365,13.6,17-197,11.6,,37.1,"51-2,157",11-11,36,,"111-1,008",77,,31:49,,0,23
2024,Florida Atlantic Owls,23.8,285,38,,215,76,116,23,57-168,33.93,13-34,38.24,,265-412,"2,586",6.3,215.5,19,15,30--212,,369,"1,383",3.7,115.3,16,,811,"3,969",330.8,,24-445,18.5,15-282,18.8,10-99,9.9,,38.1,"59-2,530",6-10,64,,41-400,33,,27:24,,12-2,1
2024,Florida International Panthers,20.3,243,31,,184,64,108,12,48-169,28.40,16-33,48.49,,220-383,"2,760",7.2,230.0,12,12,46--310,,380,"1,083",2.9,90.3,17,,809,"3,843",320.3,,27-480,17.8,13-108,8.3,6-118,19.7,,37.8,"72-2,820",9-12,38,,70-607,50,,27:16,,23-9,-9
2024,Florida State Seminoles,34.1,478,60,,274,96,151,27,66-182,36.26,10-21,47.62,,260-433,"3,519",8.1,251.4,25,4,25--197,,463,"2,102",4.5,150.1,32,,921,"5,621",401.5,,16-407,25.4,27-298,11.0,10-53,5.3,,43.3,"67-3,043",19-21,63,,85-792,56,,29:23,,17-5,8
2024,Fordham Rams,30.5,335,43,,260,99,141,20,65-151,43.05,14-24,58.33,,,,,,,,,,,,,,,,,,,,40-695,17.4,8-63,7.9,8-60,7.5,,40.7,"42-1,708",14-14,0,,86-713,64,,29:01,,0,14
2024,Fresno State Bulldogs,30.6,398,46,,272,79,174,19,90-187,48.13,9-14,64.29,,337-518,"3,669",7.1,282.2,29,12,30--234,,366,"1,372",3.7,105.5,16,,914,"5,041",387.8,,37-816,22.1,20-184,9.2,17-85,5.0,,38.4,"52-2,171",24-30,51,,58-522,40,,29:28,,6-2,9
2024,Furman Paladins,27.4,356,43,,251,112,120,19,80-198,40.40,8-19,42.11,,,,,,,,,,,,,,,,,,,,27-612,22.7,21-178,8.5,18-254,14.1,,40.0,"69-2,763",19-19,73,,63-563,43,,31:15,,0,27
2024,Gardner-Webb Runnin' Bulldogs,26.8,322,42,,213,98,98,17,59-196,30.10,27-42,64.29,,,,,,,,,,,,,,,,,,,,35-694,19.8,24-223,9.3,10-119,11.9,,38.2,"70-2,671",9-9,40,,64-620,51,,28:53,,0,16
2024,Georgetown Hoyas,25.9,285,37,,245,84,134,27,63-151,41.72,11-23,47.83,,,,,,,,,,,,,,,,,,,,35-635,18.1,18-188,10.4,10-164,16.4,,36.6,"41-1,499",9-9,6,,75-673,61,,34:31,,0,13
2024,Georgia Bulldogs,40.1,562,71,,362,148,192,22,90-166,54.22,9-12,75.00,,328-457,"4,274",9.4,305.3,29,7,13--83,,501,"2,677",5.3,191.2,40,,971,"6,951",496.5,,24-610,25.4,24-260,11.4,14-135,9.6,,42.6,"32-1,403",21-25,65,,62-601,42,,33:28,,17-7,3
2024,Georgia Southern Eagles,30.1,391,46,,300,95,180,25,85-185,45.95,13-22,59.09,,376-577,"3,929",6.8,302.2,26,20,34--211,,377,"1,524",4.0,117.2,16,,988,"5,453",419.5,,40-951,23.8,27-204,7.6,13-154,11.8,,35.4,"48-1,871",23-28,67,,76-673,51,,31:06,,20-11,-10
2024,Georgia State Panthers,27.2,354,47,,254,127,105,22,86-189,45.50,9-19,47.37,,249-367,"2,668",7.3,205.2,20,7,20--132,,513,"2,445",4.8,188.1,25,,900,"5,113",393.3,,22-371,16.9,10-34,3.4,11-146,13.3,,34.8,"62-2,528",9-13,55,,83-748,57,,29:39,,17-8,2
2024,Georgia Tech Yellow Jackets,31.1,404,51,,289,142,123,24,72-167,43.11,12-23,52.17,,231-379,"2,871",7.6,220.8,27,17,15--93,,492,"2,649",5.4,203.8,24,,886,"5,520",424.6,,23-510,22.2,12-121,7.6,14-156,11.1,,38.7,"46-1,967",17-22,62,,67-582,44,,28:39,,10-4,4
2024,Grambling Tigers,34.9,384,43,,214,95,99,20,53-143,37.06,7-14,50.00,,,,,,,,,,,,,,,,,,,,42-710,16.9,24-239,10.2,14-122,8.7,,38.0,"60-2,429",7-8,3,,107-901,81,,30:01,,0,21
2024,Hampton Pirates,23.3,256,34,,206,108,75,23,53-135,39.26,3-11,27.27,,,,,,,,,,,,,,,,,,,,35-600,17.1,5-25,5.0,7-13,1.9,,35.1,"59-2,073",7-7,8,,74-623,56,,30:27,,0,14
2024,Harvard Crimson,31.6,316,43,,190,102,80,8,57-129,44.19,5-11,45.46,,,,,,,,,,,,,,,,,,,,23-454,19.7,16-152,9.5,13-154,11.8,,35.1,"46-1,614",7-7,42,,34-294,29,,28:45,,0,20
2024,Hawai'i Rainbow Warriors,21.5,280,34,,251,70,154,27,68-183,37.16,16-32,50.00,,337-537,"3,593",6.7,276.4,27,15,39--265,,325,980,3.0,75.4,6,,901,"4,573",351.8,,21-410,19.5,15-101,6.7,7-63,9.0,,35.3,"61-2,369",14-18,61,,80-733,56,,29:39,,14-8,-10
2024,Holy Cross Crusaders,36.9,406,57,,257,143,92,22,68-130,52.31,18-29,62.07,,,,,,,,,,,,,,,,,,,,33-653,19.8,12-54,4.5,5-68,13.6,,36.4,23-838,3-3,12,,67-625,56,,28:49,,0,6
2024,Houston Cougars,23.7,284,37,,230,84,128,18,57-155,36.77,7-27,25.93,,261-408,"2,898",7.1,241.5,24,13,27--184,,359,"1,424",4.0,118.7,10,,794,"4,322",360.2,,29-625,21.6,15-100,6.7,9-144,16.0,,39.0,"50-2,069",8-14,41,,68-590,49,,27:56,,8-2,-1
2024,Houston Christian Huskies,27.3,273,35,,205,93,86,26,58-141,41.14,6-14,42.86,,,,,,,,,,,,,,,,,,,,13-222,17.1,12-100,6.4,5-99,19.8,,34.9,"50-1,866",10-10,37,,54-449,44,,29:04,,0,16
2024,Howard Bison,28.5,342,45,,234,95,114,25,76-166,45.78,14-28,50.00,,,,,,,,,,,,,,,,,,,,30-712,23.7,14-137,9.8,9-78,8.7,,39.7,"46-1,828",9-9,9,,65-576,48,,30:46,,0,12
2024,Idaho Vandals,32.3,420,52,,285,117,146,22,70-166,42.17,19-33,57.58,,,,,,,,,,,,,,,,,,,,25-594,23.8,18-332,14.9,11-123,11.2,,44.0,"29-1,276",19-19,56,,74-711,54,,33:44,,0,16
2024,Idaho State Bengals,25.5,280,38,,243,57,163,23,61-154,39.61,12-29,41.38,,,,,,,,,,,,,,,,,,,,21-441,21.0,6-60,10.0,8-85,10.6,,41.2,"49-2,020",5-5,23,,56-534,48,,26:18,,0,14
2024,Illinois Fighting Illini,24.5,294,37,,244,77,147,20,58-161,36.03,14-25,56.00,,261-415,"3,175",7.7,264.6,23,13,40--205,,396,"1,517",3.8,126.4,12,,851,"4,692",391.0,,25-454,18.2,12-133,11.1,7-103,14.7,,38.9,"52-2,183",14-19,42,,79-749,62,,28:24,,17-10,-8
2024,Illinois State Redbirds,32.6,359,49,,267,109,132,26,75-157,47.77,18-25,72.00,,,,,,,,,,,,,,,,,,,,12-144,12.0,11-50,4.5,11-106,9.6,,37.6,"40-1,502",8-9,62,,57-476,43,,27:38,,0,16
2024,Incarnate Word Cardinals,34.0,340,46,,242,86,135,21,58-134,43.28,11-25,44.00,,,,,,,,,,,,,,,,,,,,22-413,18.8,23-213,7.8,11-151,13.7,,43.2,"32-1,381",7-7,50,,85-788,78,,27:55,,0,16
2024,Indiana Hoosiers,27.0,324,33,,236,89,121,26,62-169,36.69,9-26,34.62,,215-366,"2,553",7.0,212.8,18,10,25--197,,433,"1,451",3.4,120.9,13,,824,"4,004",333.7,,31-657,21.2,12-31,2.6,10-98,9.8,,39.8,"58-2,612",11-15,46,,65-607,50,,29:25,,19-8,-5
2024,Indiana State Sycamores,13.3,146,18,,178,85,73,20,48-145,33.10,8-23,34.78,,,,,,,,,,,,,,,,,,,,23-446,19.4,11-75,6.8,5-109,21.8,,38.9,"53-2,063",8-10,20,,54-532,48,,30:14,,0,8
2024,Iowa Hawkeyes,15.4,216,22,,179,84,72,23,60-204,29.41,7-14,50.00,,170-348,"1,661",4.8,118.6,9,11,33--244,,486,"1,635",3.4,116.8,11,,867,"3,296",235.4,,19-444,23.4,31-319,10.3,10-126,12.6,,44.2,"94-4,516",19-27,76,,51-433,30,,28:32,,24-11,-7
2024,Iowa State Cyclones,26.2,341,40,,212,68,132,12,68-174,39.08,10-16,62.50,,241-381,"3,185",8.4,245.0,23,8,14--85,,382,"1,559",4.1,119.9,16,,777,"4,744",364.9,,19-382,20.1,17-128,7.5,16-150,9.4,,39.1,"62-2,703",21-26,40,,63-569,43,,29:09,,9-3,8
2024,Jackson State Tigers,27.3,300,39,,234,103,106,25,60-160,37.50,15-20,75.00,,,,,,,,,,,,,,,,,,,,33-500,15.2,14-116,8.3,17-39,2.3,,37.1,"55-2,043",10-11,22,,82-723,65,,31:45,,0,22
2024,Jacksonville State Gamecocks,30.2,392,49,,289,164,102,23,78-207,37.68,14-27,51.85,,182-350,"2,223",6.4,171.0,12,12,16--113,,647,"3,077",4.8,236.7,35,,1013,"5,300",407.7,,6-116,19.3,17-104,6.1,16-249,15.6,,39.6,"69-2,845",16-22,52,,63-564,43,,26:43,,17-8,5
2024,James Madison Dukes,34.1,443,56,,275,92,165,18,60-164,36.59,8-16,50.00,,288-428,"3,702",8.7,284.8,36,11,24--158,,446,"1,744",3.9,134.2,17,,898,"5,446",418.9,,22-430,19.5,20-263,13.2,13-159,12.2,,38.5,"59-2,395",16-18,46,,72-521,40,,31:17,,13-4,6
2024,Kansas Jayhawks,39.5,514,61,,279,122,134,23,70-145,48.28,7-19,36.84,,200-311,"3,121",10.0,240.1,24,11,16--124,,499,"2,678",5.4,206.0,32,,826,"5,799",446.1,,31-616,19.9,6-119,19.8,14-177,12.6,,39.4,"33-1,294",11-15,67,,73-740,56,,30:47,,16-6,1
2024,Kansas State Wildcats,36.9,480,64,,310,143,145,22,90-188,47.87,14-24,58.33,,258-426,"3,135",7.4,241.2,30,10,17--117,,533,"2,653",5.0,204.1,32,,976,"5,788",445.2,,19-344,18.1,16-87,5.4,13-136,10.5,,37.7,"52-2,151",11-14,39,,63-568,43,,31:53,,7-2,11
2024,Kennesaw State Owls,26.1,235,31,,151,92,47,12,35-109,32.11,7-15,46.67,,0-0,0,0.0,0.0,0,0,0-0,,0,0,0.0,0.0,0,,0,0,0.0,,19-499,26.3,17-177,10.7,10-224,22.4,,39.6,"39-1,652",6-7,39,,59-568,63,,29:39,,0-0,15
2024,Kent State Golden Flashes,14.7,176,19,,180,76,89,15,51-172,29.65,12-26,46.15,,160-306,"1,974",6.5,164.5,11,6,41--256,,441,"1,271",2.9,105.9,8,,788,"3,245",270.4,,42-887,21.1,14-106,7.6,6-0,0.0,,34.2,"72-2,767",15-17,24,,65-554,46,,28:49,,8-6,-3
2024,Kentucky Wildcats,29.1,378,50,,219,74,122,23,52-138,37.68,2-10,20.00,,211-375,"2,751",7.3,211.6,25,12,22--156,,339,"1,660",4.9,127.7,18,,736,"4,411",339.3,,23-678,29.5,8-73,9.1,11-230,20.9,,36.9,"56-2,276",10-11,60,,79-661,50,,27:35,,16-8,-2
2024,LSU Tigers,45.5,592,79,,335,128,182,25,71-130,54.62,6-15,40.00,,286-411,"4,406",10.7,338.9,44,5,22--96,,430,"2,659",6.2,204.5,34,,863,"7,065",543.5,,21-399,19.0,7-74,6.3,10-107,10.7,,40.2,"26-1,064",12-15,51,,79-672,51,,28:51,,9-3,6
2024,Lafayette Leopards,30.2,362,49,,236,120,94,22,72-155,46.45,15-21,71.43,,,,,,,,,,,,,,,,,,,,16-282,17.6,8-60,7.5,9-143,15.9,,36.0,"45-1,620",6-6,6,,54-517,43,,29:55,,0,17
2024,Lamar Cardinals,26.1,287,39,,204,91,93,20,61-152,40.13,12-22,54.55,,,,,,,,,,,,,,,,,,,,31-730,23.5,10-110,13.1,8-63,7.9,,38.6,"50-2,031",6-7,31,,60-568,51,,30:40,,0,17
2024,Lehigh Mountain Hawks,18.5,203,27,,179,51,103,25,45-145,31.03,13-24,54.17,,,,,,,,,,,,,,,,,,,,41-707,17.2,14-215,15.4,3-30,10.0,,41.3,"63-2,560",5-5,8,,64-564,51,,25:55,,0,12
2024,Liberty Flames,38.3,536,73,,346,207,113,26,78-158,49.37,11-21,52.38,,178-303,"2,882",9.5,205.9,32,6,9--65,,670,"4,106",6.1,293.3,39,,982,"6,988",499.1,,26-532,20.5,13-86,6.3,21-181,8.6,,37.9,"35-1,441",9-14,32,,88-875,62,,33:04,,17-12,7
2024,Lindenwood Lions,22.0,220,28,,185,80,92,13,46-135,34.07,8-16,50.00,,,,,,,,,,,,,,,,,,,,26-652,25.1,6-47,4.8,3-1,0.3,,39.4,"51-2,010",8-8,46,,53-520,52,,28:43,,0,9
2024,Long Island University Sharks,19.6,216,27,,159,87,60,12,48-134,35.82,7-16,43.75,,,,,,,,,,,,,,,,,,,,31-556,17.9,17-191,11.2,7-33,4.7,,41.3,"54-2,231",10-11,27,,59-585,53,,26:58,,0,11
2024,Louisiana Ragin' Cajuns,32.2,418,54,,265,115,128,22,68-167,40.72,11-20,55.00,,238-367,"2,817",7.7,216.7,23,9,25--182,,469,"2,294",4.9,176.5,25,,861,"5,111",393.2,,42-934,22.2,18-102,5.7,13-149,11.5,,39.6,"53-2,194",14-16,18,,79-647,49,,29:05,,26-11,3
2024,Louisiana Tech Bulldogs,25.9,311,39,,241,84,131,26,46-155,29.68,15-30,50.00,,269-422,"3,131",7.4,260.9,16,11,25--158,,381,"1,495",3.9,124.6,20,,828,"4,626",385.5,,29-558,19.2,31-268,8.6,5-49,9.8,,39.0,"54-2,423",14-19,82,,81-753,62,,29:44,,21-7,-9
2024,Louisville Cardinals,30.7,430,54,,292,128,141,23,65-176,36.93,13-24,54.17,,266-408,"3,313",8.1,236.6,22,12,32--249,,533,"2,499",4.7,178.5,31,,973,"5,812",415.1,,24-475,19.8,29-132,4.6,13-149,11.5,,38.1,"54-2,228",18-25,56,,78-681,48,,32:13,,20-7,1
