Year,Name,Position,College,Rating
2024,Jaylen Booker,IOL,Bethune-Cookman Wildcats,NA
2024,Javon Ross,ATH,Bethune-Cookman Wildcats,NA
2024,Verron Clarke,IOL,Bethune-Cookman Wildcats,NA
2024,Truth Moody,OT,Bethune-Cookman Wildcats,NA
2024,Dennis Palmer,RB,Bethune-Cookman Wildcats,NA
2024,Gabriel Cash,CB,Bethune-Cookman Wildcats,NA
2024,Cornelious Bass,LB,Bethune-Cookman Wildcats,NA
2024,William Roberts,IOL,Bethune-Cookman Wildcats,0.8463
2024,Matthew McKenzie,CB,Bethune-Cookman Wildcats,0.8450
2024,Kenny Jackson,ATH,Bethune-Cookman Wildcats,0.8350
2024,Chris Marshall,WR,Boise State Broncos,0.8989
2024,Sire Gaines,ATH,Boise State Broncos,0.8731
2024,Clay Martineau,LB,Boise State Broncos,0.8683
2024,Treyvon Tolmaire,CB,Boise State Broncos,0.8608
2024,Joseph Marsh,Edge,Boise State Broncos,0.8456
2024,Roman Caywood,ATH,Boise State Broncos,0.8419
2024,Kaden Anderson,TE,Boise State Broncos,0.8403
2024,Trevor McKenna,DL,Boise State Broncos,0.8344
2024,Lopez Sanusi,DL,Boise State Broncos,0.8156
2024,Udoka Ezeani,LB,Boise State Broncos,0.7983
2024,Jadon Lafontant,IOL,Boston College Eagles,0.8572
2024,Pape Sy,OT,Boston College Eagles,0.8503
2024,Martreece Dillard,DL,Bowling Green Falcons,0.8547
2024,Dorian Pringle,LB,Bowling Green Falcons,0.8237
2024,TJ Nelson,S,Bowling Green Falcons,0.8170
2024,Kal-El Pascal,S,Bowling Green Falcons,0.8156
2024,Ryner Swanson,TE,Brigham Young Cougars,0.9125
2024,Danny Saili,DL,Brigham Young Cougars,0.8812
2024,Therrian Alexander III,CB,Brigham Young Cougars,0.8664
2024,Ephraim Asiata,LB,Brigham Young Cougars,0.8614
2024,Noah Lugo,QB,Brigham Young Cougars,0.8550
2024,Dallin Johnson,OT,Brigham Young Cougars,0.8492
2024,Tommy Prassas,S,Brigham Young Cougars,0.8386
2024,DJ Toliver,IOL,Brown Bears,0.8614
2024,John Lee Honorat,ATH,Bryant Bulldogs,NA
2024,Shae Terry,CB,Bryant Bulldogs,0.8600
2024,Herschel Johal,OT,Bucknell Bison,NA
2024,Jacari Bennett,LB,Buffalo Bulls,NA
2024,Xavier Leonard,LB,Buffalo Bulls,0.8163
2024,Luke Yau Gayle,DL,Buffalo Bulls,0.8096
2024,Jackson Bellamy,OT,Buffalo Bulls,0.8096
2024,Chayce Chadwick,IOL,Buffalo Bulls,0.8006
2024,Matthew Glen,IOL,Buffalo Bulls,0.8006
2024,Ramari Taylor,CB,Buffalo Bulls,0.7683
2024,Calvin Moore,CB,Cal Poly Mustangs,NA
2024,JT Houston,Edge,Cal Poly Mustangs,NA
2024,Bain Eiseman,WR,Cal Poly Mustangs,NA
2024,Devin Cerda,ATH,Cal Poly Mustangs,NA
2024,Alek Marshall,TE,Cal Poly Mustangs,NA
2024,Trevor Newkirk,OT,Cal Poly Mustangs,NA
2024,Drew Harrigan,RB,Cal Poly Mustangs,NA
2024,Aiden Hall,WR,Cal Poly Mustangs,NA
